ApplNo,ProductNo,MarketingStatusID,TECode
019630,28,1,AP
019630,30,1,AP
019631,4,1,AP
019631,7,1,AP
019631,8,1,AP
019631,9,1,AP
019631,10,1,AP
019632,1,1,AP
019633,1,1,AP
019634,3,1,AP
019635,1,1,AP
019635,2,1,AP
019635,3,1,AP
019635,4,1,AP
019640,4,1,
019640,5,1,
019649,1,1,AB
019655,1,1,AB
019667,1,1,AP
019667,2,1,AP
019667,3,1,AP
019668,1,1,AB
019668,2,1,AB
019668,3,1,AB
019668,4,1,AB
019680,1,1,AB
019684,1,1,AB2
019684,2,1,AB2
019684,3,1,AB2
019685,2,1,AP
019686,1,1,AP
019686,2,1,AP
019691,5,1,AP
019691,9,1,AP
019699,4,1,AP
019699,6,1,AP
019700,1,1,AT
019708,4,1,AP
019734,3,1,AP
019734,4,1,AP
019737,1,1,AB
019758,1,1,AB
019758,2,1,AB
019758,3,1,AB
019758,4,1,AB
019759,1,1,AP
019763,1,1,AP
019763,2,1,AP
019764,2,1,
019766,1,1,AB
019766,2,1,AB
019766,3,1,AB
019766,4,1,AB
019774,2,1,
019777,1,1,AB
019777,2,1,AB
019777,3,1,AB
019777,4,1,AB
019777,5,1,AB
019777,6,1,AB
019781,1,1,AB
019781,2,1,AB
019785,1,1,AP
019787,1,1,AB
019787,2,1,AB
019787,3,1,AB
019795,1,1,AT
019796,1,1,AB
019797,1,1,AA
019797,2,1,AA
019824,1,1,AB
019828,1,1,AB
019830,2,1,AP
019830,3,1,AP
019830,4,1,AP
019839,1,1,AB
019839,2,1,AB
019839,5,1,AB
019851,1,1,AB
019851,2,1,AB
019851,3,1,AB
019851,4,1,AB
019853,1,1,AB
019854,1,1,AB
019855,1,1,AB
019865,1,1,AB
019865,2,1,AB
019865,3,1,AB
019865,5,1,AB
019869,1,1,AP
019882,1,1,AP
019884,1,1,AP
019885,1,1,AB
019885,2,1,AB
019885,3,1,AB
019885,4,1,AB
019887,1,1,AN
019888,1,1,AB
019888,2,1,AB
019888,3,1,AB
019891,1,1,AA
019892,1,1,AB
019892,2,1,AB
019892,3,1,AB
019893,1,1,AP
019901,1,1,AB
019901,2,1,AB
019901,3,1,AB
019901,4,1,AB
019904,1,1,AP
019904,2,1,AP
019904,4,1,AP
019904,5,1,AP
019904,6,1,AP
019906,1,1,AB
019906,2,1,AB
019906,3,1,AB
019908,1,1,AB
019908,2,1,AB
019909,1,1,AB
019910,1,1,AA
019921,1,1,AT
019922,1,1,AP
019931,1,1,AB
019941,1,1,AB
019949,1,1,AB
019949,2,1,AB
019949,3,1,AB
019949,4,1,AB
019952,4,1,AP
019952,5,1,AP
019953,1,1,AP
019955,1,1,AB
019955,2,1,AB
019962,1,1,AB
019962,2,1,AB
019962,3,1,AB
019962,4,1,AB
019970,1,1,AP
019970,2,1,AP
019970,3,1,AP
019992,1,1,AT
020002,1,1,AP
020006,1,1,AP
020006,2,1,AP
020006,3,1,AP
020006,4,1,AP
020031,1,1,AB
020031,2,1,AB
020031,3,1,AB
020031,5,1,AB
020033,2,1,AB
020033,3,1,AB
020033,4,1,AB
020047,1,1,AP
020047,3,1,AP
020049,2,1,AB
020051,1,1,AB
020051,2,1,AB
